Div18,Target Area (sqm),Target (sqft),Building Area,Road Area,Density - Bldg,Density - Road,Roughness,Roughness0.03,Slope,
0,1398696.1,15055424.7,6440911.41,3490961.536,0.4278,0.2319,0.1748,0.1850,0.01000,0.01000
1,1241888.9,13367568.2,3772975.06,2599454.703,0.2822,0.1945,0.116,0.1317,0.00111,0.00111
2,1171097.2,12605572.7,5170077.35,2688469.267,0.4101,0.2133,0.1675,0.1788,0.00010,0.00010
3,706382,7603425.2,2519300.52,1540184.5,0.3313,0.2026,0.1358,0.1498,0.01000,0.01000
4,642446.7,6915232,2217236.75,1842912.764,0.3206,0.2665,0.1325,0.1449,0.00051,0.00051
5,919381.9,9896135.1,2916104.73,1908689.521,0.2947,0.1929,0.121,0.1363,0.01000,0.01000
6,846856.5,9115479.1,3327933.48,1971706.827,0.3651,0.2163,0.1495,0.1621,0.01000,0.01000
7,1170509.4,12599246.1,5803632.94,2614354.18,0.4606,0.2075,0.1876,0.1975,0.00028,0.00028
8,1113490,11985494.7,5277756.64,2216392.581,0.4403,0.1849,0.1791,0.1903,0.01000,0.01000
9,1246136.4,13413287.6,5354061.96,2728908.363,0.3992,0.2034,0.1629,0.1748,0.00323,0.00323
10,712482.3,7669088.7,3546432.86,1463475.078,0.4624,0.1908,0.188,0.1984,0.01000,0.01000
11,866160.9,9323269.4,3798517.19,2034204.911,0.4074,0.2182,0.1665,0.1777,0.00170,0.00170
12,1098093.2,11819765.4,3968919.17,2361576.387,0.3358,0.1998,0.1375,0.1514,0.01000,0.01000
13,1135996.5,12227752.3,2950854.37,3241428.219,0.2413,0.2651,0.1008,0.1156,0.01000,0.01000
14,871295.6,9378539.1,3895760.7,2232273.803,0.4154,0.2380,0.1700,0.1804,0.01000,0.01000
15,471372.5,5073806.1,1177017.41,1254663.354,0.2320,0.2473,0.0967,0.1124,0.00050,0.00050
16,686892,7393637.3,1661986.72,1818207.372,0.2248,0.2459,0.0938,0.1097,0.00010,0.00010
17,339949.3,3659179.8,1266461.9,877518.3636,0.3461,0.2398,0.1423,0.1547,0.00010,0.00010
