Cold,Warm,Year
5.0,0.0,2020
3.0,1.0,2021
2.0,1.0,2022
5.0,3.0,2023
2.0,1.0,2024
3.0,1.0,2025
4.0,3.0,2026
7.0,1.0,2027
5.0,3.0,2028
5.0,0.0,2029
3.0,1.0,2030
1.0,3.0,2031
6.0,0.0,2032
5.0,2.0,2033
4.0,2.0,2034
8.0,1.0,2035
10.0,1.0,2036
7.0,0.0,2037
3.0,3.0,2038
2.0,2.0,2039
5.0,1.0,2040
5.0,1.0,2041
4.0,4.0,2042
6.0,2.0,2043
8.0,1.0,2044
4.0,1.0,2045
5.0,1.0,2046
3.0,5.0,2047
2.0,1.0,2048
4.0,2.0,2049
3.0,3.0,2050
1.0,3.0,2051
3.0,1.0,2052
1.0,2.0,2053
4.0,3.0,2054
1.0,2.0,2055
3.0,1.0,2056
3.0,1.0,2057
1.0,1.0,2058
3.0,2.0,2059
4.0,1.0,2060
4.0,3.0,2061
4.0,2.0,2062
5.0,0.0,2063
4.0,2.0,2064
6.0,1.0,2065
6.0,2.0,2066
5.0,1.0,2067
0.0,2.0,2068
9.0,3.0,2069
3.0,2.0,2070
5.0,1.0,2071
7.0,0.0,2072
7.0,1.0,2073
4.0,2.0,2074
2.0,1.0,2075
2.0,0.0,2076
2.0,1.0,2077
4.0,2.0,2078
5.0,1.0,2079
9.0,0.0,2080
4.0,2.0,2081
6.0,0.0,2082
3.0,5.0,2083
5.0,2.0,2084
5.0,3.0,2085
5.0,1.0,2086
3.0,2.0,2087
6.0,3.0,2088
2.0,2.0,2089
10.0,0.0,2090
4.0,0.0,2091
6.0,4.0,2092
9.0,2.0,2093
4.0,2.0,2094
7.0,0.0,2095
3.0,1.0,2096
9.0,1.0,2097
5.0,3.0,2098
6.0,1.0,2099
